A4	[0]/'ei'fO:	n. A4型纸（规格为297×210毫米的纸）
onlooking	[0]/'On,lJkIN	adj. 旁观的；目击的
only	[3A]/'EJnlI/'onli	adv. 只，仅仅；不料
ono	[0]	abbr. 或最近报价（售货广告用语）
onrush	[3A]/'LnrRF/'On'rRF	n. 猛冲；突进；袭击；急流
ons	[0]	abbr. 奥运信息服务（Olympic News Service）；物件名称服务（Object Name Service）；一夜情（One Night Stand）
onset	[3A]/'Lnset/'BnsCt	n. 开始，着手；发作；攻击，进攻
ont	[0]	abbr. 光网络终端（Optical Network Termination）
onto	[3A]/'LntuD/'BntE	prep. 在…之上；对…了解；映射到…上
ontology	[3A]/Ln'tLlEdGI/Bn'tBlEdGi	n. 本体论；存在论；实体论
onus	[3A]/'EJnEs/'onEs	n. 责任，义务；负担
onward	[3A]/'LnwEd/'BnwMd	adj. 向前的；前进的
onwards	[3A]/'LnwEdz/'BnwMdz	adv. 向前；在前面
onyx	[3A]/'LnIks; 'EJnIks/'BnIks	n. [矿物] 缟玛瑙；[动] 爪甲
oo	[3A]//,u'K	abbr. 面向对象程式设计（Object Oriented）；已订购而尚未交货的（on order）
ooh	[3A]/uD/u	int. （表示惊异、热心、高兴或不悦的叫声）哦！
ook	[0]	abbr. 通断键控；开关键控（On-Off Keying）
oomph	[3A]/Jmf; uDmf/Jmf	n. 性的魅力，吸引力；精力；性感
ooo	[0]	n. 已坏
oops	[3A]/uDps; Jps/Jps	int. 哎哟（表示惊讶，狼狈时所发的喊声）
ooze	[3A]/uDz/uz	vt. 渗出；泄漏
opacity	[3A]/E(J)'pAsItI/o'pAsEti	n. 不透明；不传导；暧昧
opal	[3A]/'EJp(E)l/'opl	n. 猫眼石，蛋白石；乳白玻璃
opalescence	[0]/opE'lCsns	n. 蛋白色光；[光] 乳白光
opaque	[3A]/E(J)'peIk/o'pek	adj. 不透明的；不传热的；迟钝的
opaqueness	[0]/Eu'peiknis	n. 不透明性
opc	[0]	abbr. 原花青素（Oligomeric Proantho Cyanidins）；光学临近修正（Optical Proximity Correction）
opcode	[0]/Bpkod	n. 操作码；作业码
open	[3A]/'EJp(E)n/'opEn	adj. 公开的；敞开的；空旷的；坦率的；营业着的
open-minded	[0]/'EupEn'maindid	adj. 虚心的；思想开明的；无偏见的
opened	[3A]//'opEn	v. 打开，开启（open过去分词形式）
opener	[3A]/'EJp(E)nE/'opnM	n. [五金] 开启工具；开启的人
opening	[3A]/'EJp(E)nIN/'opEnIN	n. 开始；机会；通路；空缺的职位
openings	[0]/'opEnIN	n. 开口；空缺（opening的复数）；开幕；走向世界
openly	[2A]/'opEnli	adv. 公开地；公然地；坦率地
openness	[3A]/'EJpEnnIs/'opEnnEs	n. 公开；宽阔；率真
opens	[0]/'EupEnz	n. 打开；公开赛事；旷野（open的复数形式）
oper	[0]	abbr. 古波斯语（等于O. Per.）
opera	[3A]/'Lp(E)rE/'BprE	n. 歌剧；歌剧院；歌剧团
operable	[3A]/'Lp(E)rEb(E)l/'BpErEbl	adj. 可操作的；可动手术的
operand	[3A]/'LpErAnd/,BpE'rAnd	n. [计] 操作数；[计] 运算对象
operate	[3A]/'LpEreIt/'BpE'ret	vi. 运转；动手术；起作用
operated	[3A]//	adj. 操作的
operating	[3A]/'LpEreItIN/'BpEretIN	adj. 操作的；[外科] 外科手术的
operation	[3A]/LpE'reIF(E)n/,BpE'reFEn	n. 操作；经营；[外科] 手术；[数][计] 运算
operational	[3A]/LpE'reIF(E)n(E)l/'BpE'reFEnl	adj. 操作的；运作的
operations	[3A]//,BpE'reFEn	n. 运营；运作；业务操作（operation的复数）
operative	[3A]/'Lp(E)rEtIv/'BpErEtIv	adj. 有效的；运转着的；从事生产劳动的
operator	[3A]/'LpEreItE/'BpEretM	n. 经营者；操作员；话务员；行家
operetta	[3A]/LpE'retE/,BpE'rCtE	n. 轻歌剧；小歌剧
opi	[0]	abbr. 开放式印前接口标准（open prepress interface）
opiate	[3A]/'EJpIEt/'opIEt	n. 鸦片制剂；麻醉剂；镇静剂
opine	[3A]/E(J)'paIn/o'paIn	vt. 以为；想
opinion	[3A]/E'pInjEn/E'pInjEn	n. 意见；主张
opinionated	[3A]/E'pInjEneItId/E'pInjEnetId	adj. 固执己见的；武断的
opinions	[3A]//E'pInjEn	n. 意见；评价（opinion的复数）；舆论
opium	[3A]/'EJpIEm/'opIEm	n. 鸦片；麻醉剂
opp	[0]	abbr. 定向聚丙烯
oppo	[3A]/'LpEJ/E'po	n. 相对应的人（或东西）；同僚；朋友
opponent	[3A]/E'pEJnEnt/E'ponEnt	n. 对手；反对者；敌手
opponents	[3A]//	n. 对手（opponent的复数形式）
opportune	[3A]/'LpEtjuDn; ,LpE'tjuDn/	adj. 适当的；恰好的；合时宜的
opportunely	[0]/OpE'tju:nli	adv. 及时地；恰好地；适当地
opportunism	[3A]/'LpEtFuDnIz(E)m; 'LpEtjuDnIz(E)m; ,LpE'tFuDnIz(E)m; ,LpE'tjuDnIz(E)m/,BpM'tunIzEm	n. 机会主义；投机主义
opportunist	[3A]/LpE'tjuDnIst/,BpM'tunIst	n. 机会主义者；投机取巧者
opportunistic	[3A]/LpEtjuD'nIstIk/,BpMtu'nIstIk	adj. 机会主义的；投机取巧的
opportunity	[3A]/LpE'tjuDnItI/,BpM'tunEti	n. 时机，机会
opposable	[3A]/E'pEJzEb(E)l/E'pozEbl	adj. 可反对的；可相对的
oppose	[3A]/E'pEJz/E'poz	vt. 反对；对抗，抗争
opposed	[3A]/E'pEJzd/E'pozd	adj. 相反的；敌对的
opposing	[3A]/E'pEJzIN/E'pozIN	adj. 反对的；相对的；对面的
opposite	[3A]/'LpEzIt; -sIt/'BpEzEt	adj. 相反的；对面的；对立的
oppositely	[0]/'OpEzitli	adv. 反向地；在相反的位置；面对面
opposition	[3A]/LpE'zIF(E)n/'BpE'zIFEn	n. 反对；反对派；在野党；敌对
oppress	[3A]/E'pres/E'prCs	vt. 压迫，压抑；使……烦恼；使……感到沉重
oppressed	[3A]/E'prest/	adj. 受压制的，受压迫的
oppression	[3A]/E'preF(E)n/E'prCFEn	n. 压抑；镇压；压迫手段；沉闷；苦恼
oppressive	[3A]/E'presIv/E'prCsIv	adj. 压迫的；沉重的；压制性的；难以忍受的
oppressor	[3A]/E'presE(r)/	n. 压制者，压迫者
opprobrious	[3A]/E'prEJbrIEs/	adj. 无礼的；嘴不干净的；该骂的；可耻的
opprobrium	[3A]/E'prEJbrIEm/E'probrIEm	n. 耻辱，不名誉；责骂，咒骂
oprah	[0]	n. 奥普拉（美国电视节目主持人）
opt	[3A]/Lpt/Bpt	vi. 选择
opti	[0]	abbr. 欧皮特（Optibelt，德国全系列产品经销商）
optic	[3A]/'LptIk/'BptIk	adj. 光学的；视觉的；眼睛的
optical	[3A]/'LptIk(E)l/'BptIkl	adj. 光学的；眼睛的，视觉的
optically	[0]/'BptIkli	adv. 光学地；眼睛地；视力地
optician	[3A]/Lp'tIF(E)n/Bp'tIFEn	n. 眼镜商；光学仪器商；光学仪器制造者
optics	[3A]/'LptIks/'BptIks	n. [光] 光学
optima	[0]/'BptEmE	n. 最适条件；最佳状态（optimum的复数形式）
optimal	[3A]/'LptIm(E)l/'BptEml	adj. 最佳的；最理想的
optimism	[3A]/'LptImIz(E)m/'BptImIzEm	n. 乐观；乐观主义
optimist	[3A]//'BptImIst	n. 乐观主义者；乐天派
optimistic	[3A]/LptI'mIstIk/,BptI'mIstIk	adj. 乐观的；乐观主义的
optimistically	[3A]//BptE'mIstIkli	adv. 乐观地；乐天地
optimization	[3A]/,LptImaI'zeIFEn/	n. 最佳化，最优化
optimize	[3A]//'BptImaIz	vt. 使最优化，使完善
optimized	[3A]//'BptE,maIz	adj. 最佳化的；尽量充分利用
optimizer	[3A]/'LptImaIzE/	n. [计] 优化程序；最优控制器
optimizing	[3A]//'BptE,maIz	n. [数] 优化，最佳化
optimum	[3A]/'LptImEm/'BptEmEm	adj. 最适宜的
option	[3A]/'LpF(E)n/'BpFEn	n. [计] 选项；选择权；买卖的特权
optional	[3A]/'LpF(E)n(E)l/'BpFEnl	adj. 可选择的，随意的
optionally	[0]/'BpFEnli	adv. 随意地
options	[3A]//'BpFEn	n. 选择；期权；选择项（option的复数）
optometrist	[3A]/Lp'tLmItrIst/Bp'tBmEtrIst	n. 验光师；视力测定者
opulent	[3A]/'LpjJl(E)nt/'BpjElEnt	adj. 丰富的；富裕的；大量的
opus	[3A]/'EJpEs; 'Lp-/'opEs	n. 作品
or	[3A]/OD/Or	conj. 或，或者；还是
oracle	[3A]/'LrEk(E)l/'OrEkl	n. 神谕；预言；神谕处；圣人
oral	[3A]/'ODr(E)l/'OrEl	adj. 口头的，口述的
orale	[0]/O'rB:li, Eu-	n. 切牙颌内缝终点
orally	[3A]/'ODrElI/'OrEli	adv. 口头上地；口述地
orang	[3A]/OD'rAN; E'rAN/O'rAN	n. 猩猩（等于orangutan）
orange	[3A]/'LrIn(d)G/'OrIndG	adj. 橙色的；橘色的
oranges	[0]/'OrIndG	n. 柑桔，橙子（orange复数形式）
orate	[3A]/'ODreIt; L'reIt/'Oret	vi. 演说，演讲；用演说的腔调说
oration	[3A]/L'reIF(E)n/O'reFEn	n. 演说；致辞；叙述法
orator	[3A]/'LrEtE/'OrEtM	n. 演说者；演讲者；雄辩家；原告
oratorio	[3A]/,LrE'tODrIEJ/,OrE'tOrIo	n. 清唱剧；宗教剧
oratory	[3A]/'LrEt(E)rI/'OrEtOri	n. 雄辩；演讲术
orb	[3A]/ODb/Orb	n. 球；天体；圆形物
orbit	[3A]/'ODbIt/'OrbIt	n. 轨道；眼眶；势力范围；生活常规
orbital	[3A]/'ODbIt(E)l/'OrbItl	adj. 轨道的；眼窝的
orbiter	[3A]/'ODbItE/'OrbItM	n. 人造卫星；盘旋物
orbiting	[0]/'OrbIt	v. [航][天] 轨道运行；轨道运动；转圈（orbit的ing形式）
orc	[3A]/ODk/	n. 虎鲸；乐队；妖魔（等于orca）
orchard	[3A]/'ODtFEd/'OrtFMd	n. 果园；果树林
orchestra	[3A]/'ODkIstrE/'OrkIstrE	n. 管弦乐队；乐队演奏处
orchestral	[3A]/OD'kestr(E)l/Or'kCstrEl	adj. 管弦乐的；管弦乐队的
orchestrate	[3A]/'ODkIstreIt/'OrkIstret	vt. 把…编成管弦乐曲；（美）精心安排；把…协调地结合起来
orchestration	[2A]/,OkCs'treFEn	n. 管弦乐编曲；和谐的结合
orchid	[3A]/'ODkId/'OrkId	n. 兰花；[植] 兰科植物；淡紫色
ord	[0]	abbr. 研究与开发处（Office for Research and Development）；运筹学部（Operational Research Division0；旋光色散谱， 旋光分散作用（Optical Rotatory Dispersion）
ordain	[3A]/OD'deIn/Or'den	vt. 任命某人为牧师；授某人以圣职；（上帝、法律等）命令；注定
orde	[0]	vi. 排序；订货单
ordeal	[3A]/OD'diDEl/Or'dil	n. 折磨；严酷的考验；痛苦的经验
order	[3A]/'ODdE/'OrdM	n. 命令；顺序；规则；[贸易] 定单
ordered	[3A]/'ODdEd/'OrdMd	adj. [数] 有序的；整齐的；安排好的
ordering	[3A]/'ODdErIN/'OrdErIN	n. 订购；[计] 排序；[计] 定序
orderlies	[0]	n. 看护人（orderly复数）
orderliness	[0]/'OrdMlInIs	n. 整洁，整齐；秩序井然
orderly	[3A]/'ODd(E)lI/'OrdMli	adj. 有秩序的；整齐的；值班的
orders	[3A]//'OrdM	n. 订单；命令；决议；整齐；勋章（order的复数形式）
ordinal	[3A]/'ODdIn(E)l/'OrdEnl	adj. 顺序的，依次的
ordinance	[3A]/'ODdInEns/'OrdnEns	n. 条例；法令；圣餐礼
ordinances	[0]	n. 条例；法令（ordinance的复数）
ordinarily	[3A]/'ODd(E),n(E)rIlI; ,ODdI'nerIlI/,Ordn'CrEli	adv. 通常地；一般地
ordinary	[3A]/'ODdIn(E)rI; -d(E)n-/'OrdnCri	adj. 普通的；平凡的；平常的
ordinate	[3A]/'ODdInEt/'OrdInEt	n. 纵座标；纵线
ordinates	[0]	n. 船体分站；纵坐标
ordination	[3A]/ODdI'neIF(E)n/,Ordn'eFEn	n. 分类；任命；神职授任；排成等级
ordnance	[3A]/'ODdnEns/'OrdnEns	n. 军火；大炮；军械署
ore	[3A]/OD/Or	n. 矿；矿石
ores	[0]/or	n. 矿石；非金属矿物（ore的复数）
org	[3A]/O:ɡ/	abbr. 非盈利组织（Other organizations）
organ	[3A]/'ODg(E)n/'OrɡEn	n. [生物] 器官；机构；风琴；管风琴；嗓音
organic	[3A]/OD'gAnIk/Or'gAnIk	adj. [有化] 有机的；组织的；器官的；根本的
organics	[3A]//	n. 有机物（organic的复数）
organisation	[3A]/,ODɡEnaI'zeIFEn/	n. 组织；团体（等于organization）
organise	[3A]/'ODɡEnaIz/	vi. 组织起来；组织工会
organism	[3A]/'ODg(E)nIz(E)m/'OrɡEnIzEm	n. 有机体；生物体；微生物
organist	[3A]/'ODg(E)nIst/'OrɡEnIst	n. 风琴演奏者
organizable	[0]/'OrgEn,aIzEbl	adj. 可变为有机体的；可以组织起来的
organization	[3A]//,OrɡEnE'zeFEn	n. 组织；机构；体制；团体
organizational	[3A]//,OɡEnI'zeFEnEl	adj. 组织的；编制的
organizations	[3A]//,OrgEnE'zeFEn	n. 组织，构造，有机体（organization的复数）；组织机构
organize	[3A]//'OrɡEnaIz	vt. 组织；使有系统化；给予生机；组织成立工会等
organized	[3A]//'OrɡEnaIzd	adj. 有组织的；安排有秩序的；做事有条理的
organizer	[3A]//'OrgE,naIzM	n. 组织者；承办单位；[生物] 组织导体
organizing	[3A]//'OrgE,naIz	v. 组织（organize的ing形式）；使有机化
organo	[3A]/'ODɡEnEJ/O'ɡAno	adj. 有机金属的
organs	[3A]//'OrgEn	n. 器官；机构；风琴（organ的复数）
orgasm	[3A]/'ODgAz(E)m/'OrɡAzEm	n. [生理] 性高潮；极度兴奋
orgasms	[3A]//	n. 性高潮；极度兴奋（orgasm的复数）
orge	[0]	n. 食人魔；巨魔
orgiastic	[3A]/ODdGI'AstIk/,OrdGI'AstIk	adj. 狂欢的；纵欲的
orgy	[3A]/'ODdGI/'OrdGi	n. 狂欢；放荡
orient	[3A]/'ODrIEnt; 'Lr-/'orIEnt	vt. 使适应；确定方向；使朝东
oriental	[3A]/ODrI'ent(E)l; Lr-/,orI'CntEl	adj. 东方的；东方人的
orientation	[3A]/,ODrIEn'teIF(E)n; ,Lr-/orICn'teFEn	n. 方向；定向；适应；情况介绍；向东方
oriented	[3A]/'ODrIentId/'orICntId	adj. 导向的；定向的；以…为方向的
orienting	[0]/'O:riEntiN	n. 定向
orifice	[3A]/'LrIfIs/'OrIfIs	n. [机] 孔口
origin	[3A]/'LrIdGIn/'OrIdGIn	n. 起源；原点；出身；开端
original	[3A]/E'rIdGIn(E)l; L-/E'rIdGEnl	n. 原件；原作；原物；原型
originality	[3A]/E,rIdGI'nAlItI/E'rIdGE'nAlEti	n. 创意；独创性，创造力；原始；新奇
originally	[3A]/E'rIdGIn(E)lI/E'rIdGEnEli	adv. 最初，起初；本来
originals	[0]/E'ridGEnElz	n. 原件（original的复数）；原稿
originate	[3A]/E'rIdGIneIt; L-/E'rIdGInet	vt. 引起；创作
originating	[3A]/E'ridGineitiN/	n. 起源；始发；发信
origination	[0]/E,rIdGE'neFEn	n. 起源；开始；起始
originator	[3A]/E'rIdGIneItE(r)/E'rIdGEnEtM	n. 发起人；起源；起因
origins	[3A]/'OridGinz/	n. 起源（origin的复数）
oriole	[3A]/'ODrIEJl; 'ODrIEl/'OrIol	n. 金莺（白头翁科的小鸟）
orison	[3A]/'LrIz(E)n; -s(E)n/'OrIzEn	n. 祈祷
orkney	[0]/'O:kni	n. 奥克尼（苏格兰东北方群岛）；奥克尼群岛
orlean	[0]	n. 奥尔琳（姓氏）
orn	[0]	abbr. 鸟氨酸（ornithine）；装饰（ornament）
ornament	[3A]/'ODnEm(E)nt/'OrnEmEnt	n. 装饰；[建][服装] 装饰物；教堂用品
ornamental	[3A]/ODnE'ment(E)l/,OrnE'mCntl	adj. 装饰的，装饰性的
ornamentation	[3A]/ODnEmen'teIF(E)n/,OrnEmCn'teFEn	n. 装饰物
ornaments	[3A]//	n. 装饰品（ornament的复数）
ornate	[3A]/OD'neIt/Or'net	adj. 华丽的；装饰的；（文体）绚丽的
ornithology	[3A]/,ODnI'ZLlEdGI/,OrnI'ZBlEdGi	n. 鸟类学；鸟学论文
orp	[0]	abbr. 氧化还原电位（Oxidation-Reduction Potential）；轨道会合程序（Orbital Rendezvous Procedure）
orphan	[3A]/'ODf(E)n/'Orfn	adj. 孤儿的；无双亲的
orphanage	[3A]/'ODf(E)nIdG/'OrfEnIdG	n. 孤儿院；孤儿身份
orr	[0]	abbr. 整体反应率（The Overall Response Rate）；氧还原反应（Oxygen Reduction Reaction）
orth	[0]	n. 值空间正交化
orthodox	[3A]/'ODZEdLks/'OrZEdBks	adj. 正统的；传统的；惯常的
orthodoxy	[3A]/'ODZEdLksI/'OrZEdBksi	n. 正统；正教；正统说法
orthography	[3A]/OD'ZLgrEfI/Or'ZBɡrEfi	n. 正确拼字；正字法；正字学
orz	[3A]//	n. 下跪；五体投地（网络用语）
osa	[0]	abbr. 美国光学学会（Optical Society of America）；（天主教）奥斯定会（Order of St. Augustine）
osc	[0]	abbr. 振荡器（Open Source Commerce）
oscar	[0]/'OskE	n. 奥斯卡（男子名）；（美）奥斯卡金像奖；钱
oscillate	[3A]/'LsIleIt/'BsIlet	vt. 使振荡；使振动；使动摇
oscillating	[0]/'Bslet	adj. [物] 振荡的
oscillation	[3A]/,LsI'leIFn/,BsI'leFEn	n. 振荡；振动；摆动
oscillations	[0]/,BsE'leFEn	n. 振动；振幅（oscillation的复数形式）
osculation	[0]/,Oskju'leiFEn	n. 密切；接吻；接触
osd	[0]	abbr. 海洋科学部（Ocean Sciences Division）；美国国防部长办公室（Office of the Secretary of Defense）；英国测绘局（Ordnance Survey Department）；光学扫瞄器（Optical Scanning Device）
osi	[0]	abbr. 开放式系统互联参考模型（Open System Interconnect Reference Model）
osmosis	[3A]/Lz'mEJsIs/	n. [物] 渗透；[物] 渗透性；渗透作用
oso	[0]	abbr. 轨道太阳观测台（Orbital Solar Observatory）
ospf	[0]	abbr. 开放式最短路径优先（Open Shortest Path First Interior Gateway Protocol）
oss	[0]	abbr. 航天科学局（Office of Space Sciences）；战略情报局（Office of Strategic Services）
osseous	[3A]/'LsIEs/'BsIEs	adj. 骨的；骨质的
ossified	[0]/'Osifaid	adj. 僵化的；已骨化的
ossify	[3A]/'LsIfaI/'BsIfaI	vi. 骨化；硬化；僵化
ost	[0]	abbr. 科学技术局（Office of Science and Technology）
ostensible	[3A]/L'stensIb(E)l/B'stCnsEbl	adj. 表面的；假装的
ostensibly	[3A]/L'stensIblI/Bs'tCnsEbli	adv. 表面上；外表
ostentation	[3A]/,Lsten'teIF(E)n/'BstCn'teFEn	n. 卖弄；虚饰；虚有其表
ostentatious	[3A]/,Lsten'teIFEs/,BstCn'teFEs	adj. 招摇的；卖弄的；夸耀的；铺张的；惹人注目的
ostracism	[3A]/'LstrEsIz(E)m/'BstrEsIzEm	n. 排斥；放逐；贝壳流放法
ostracize	[3A]//'BstrEsaIz	vt. 放逐；排斥；按贝壳流放法放逐
ostrich	[3A]/'LstrItF/'OstrItF	n. 鸵鸟；鸵鸟般的人
osu	[0]	abbr. 俄亥俄州立大学（Ohio State University）
ot	[0]	abbr. 加班（Overtime ）；圣经旧约（Old Testament）；职业疗法（Occupational therapy）
otc	[0]	abbr. 技术合作处（Office of Technical Cooperation）
othello	[0]/Eu'ZelEu	n. 奥赛罗（莎士比亚四大悲剧之一）
other	[3A]/'RTE/'RTM	adj. 其他的，另外的
other-directed	[3A]/'RTEdi'rektid/	adj. 受人支配的；缺少自主性的
others	[3A]//'RTM	pron. 其他人
otherwise	[3A]/'RTEwaIz/'RTMwaIz	adv. 否则；另外；在其他方面
otl	[0]	abbr. 无输出变压器（Output Transformer Less）；无输出变压器功率放大器；运转时间记录（Operating Time Log）
otter	[3A]/'LtE/'BtM	n. 水獭；水獭皮
otto	[3A]/'LtEJ/'Bto	n. 玫瑰油
ottoman	[0]/'BtEmEn	adj. 土耳其帝国的（等于Turkish）；土耳其人的；土耳其民族的
otz	[0]	n. 失意体前屈（网络心情图示）
ouch	[3A]/aJtF/aJtF	n. 扣环
ough	[0]/Eu	n. 咳嗽；表示厌恶或痛苦的叫声
ought	[3A]/ODt/Ot	aux. 应该，应当；大概
oui	[3A]/wiD/	adv. 是的，是
ounce	[3A]/aJns/aJns	n. 盎司；少量；雪豹
our	[3A]/aJE/Br	pron. 我们的
ours	[3A]/aJEz/Brz	pron. 我们的
ourself	[3A]/aJE'self/	pron. 我们；自己
ourselves	[3A]/aJE'selvz/Br'sClvz	pron. 我们自己；我们亲自
oust	[3A]/aJst/aJst	vt. 驱逐；剥夺；取代
out	[3A]/aJt/aJt	adv. 出现；在外；出局；出声地；不流行地
out-of-phase	[0]	adj. 不同相的；异相位的
out-of-shape	[0]	adj. 走样的；形状不规则的
out-of-towner	[3A]/'autEv'taunE/	n. 外地人；非本市人
outage	[3A]/'aJtIdG/'aJtIdG	n. 储运损耗；中断供应；运行中断
outback	[3A]/'aJtbAk/'aJt'bAk	n. 内地
outbid	[3A]/aJt'bId/,aJt'bId	vt. 在开价上战胜；出价高于
outbound	[3A]/'aJtbaJnd/'aJtbaJnd	adj. 出站；驶向外国的，向外去的
outbox	[0]/'aJtbBks	n. 待发箱；发信匣
outbreak	[3A]/'aJtbreIk/'aJtbrek	n. （战争的）爆发；（疾病的）发作
outburst	[3A]/'aJtbHDst/'aJtbKst	n. （火山、情感等的）爆发；破裂
outcast	[3A]/'aJtkBDst/'aJtkAst	n. 流浪的人；被驱逐的人
outcome	[3A]/'aJtkRm/'aJt'kRm	n. 结果，结局；成果
outcry	[3A]/'aJtkraI/'aJtkraI	n. 强烈抗议；大声疾呼；尖叫；倒彩
outdated	[3A]/aJt'deItId/'aJt'detId	adj. 过时的；旧式的
outdo	[3A]/aJt'duD/,aJt'du	vt. 超过；胜过
outdoor	[3A]/'aJtdOD/'aJt'dOr	adj. 户外的；露天的；野外的（等于out-of-door）
outdoors	[3A]/aJt'dODz/'aJt'dOrz	adv. 在户外
outdoorsman	[3A]/,aJt'dODzmEn/aJt'dOrzmEn	n. 常在野外活动的人
outer	[3A]/'aJtE/'aJtM	adj. 外面的，外部的；远离中心的
outermost	[3A]/'aJtEmEJst/'aJtM'most	adj. 最外面的；最远的
outface	[3A]/aJt'feIs/,aJt'fes	vt. 蔑视；无畏惧地面对；盯住…使之不安
outfit	[3A]/'aJtfIt/'aJtfIt	n. 机构；用具；全套装备
outfits	[0]	n. 全套装备；一套服装（outfit的复数）
outfox	[3A]/aJt'fLks/,aJt'fBks	vt. 以计取胜；以机智胜过
outgo	[3A]/aJt'gEJ/,aJt'ɡo	n. 支出；外出；出口
outgoing	[3A]/'aJtgEJIN/'aJt'goIN	adj. 外出的；即将离职的；乐于助人的
outgrow	[3A]/aJt'grEJ/,aJt'ɡro	vt. 过大而不适于；出生；长大成熟而不再
outgrown	[0]/'aJt'gro	adj. 过大的
outgrowth	[2A]/'aJtɡroZ	n. 结果；副产物；自然的发展；分枝
outing	[3A]/'aJtIN/'aJtIN	n. 远足；短途旅游；体育比赛
outland	[3A]/'oJt,lAnd/'aJtlEnd	n. 靠近边界之土地，边境地区
outlandish	[3A]/aJt'lAndIF/aJt'lAndIF	adj. 古怪的；奇异的；异国风格的；偏僻的
outlast	[3A]/aJt'lBDst/,aJt'lAst	vt. 比…长久；从…中逃生
outlaw	[3A]/'aJtlOD/'aJtlO	n. 歹徒；罪犯；亡命之徒；被剥夺法律保护者
outlay	[3A]/'aJtleI/'aJtle	vt. 花费
outlet	[3A]/'aJtlet/'aJtlCt	n. 出口，排放孔；[电] 电源插座；销路；发泄的方法；批发商店
outlets	[3A]//'aJt,lCt	n. 出路；销售点；排水口；批发商点（outlet的复数形式）
outline	[3A]/'aJtlaIn/'aJtlaIn	n. 轮廓；大纲；概要；略图
outlines	[0]/'aJt,laIn	n. 轮廓；概要（outline的复数）；大概描述
outlining	[0]/'aJt,laIn	n. 列提纲；描绘轮廓；提纲挈领
outlive	[3A]/aJt'lIv/,aJt'lIv	vt. 比…活得长；比…经久；经受住；渡过…而存在
outlook	[3A]/'aJtlJk/'aJtlJk	n. 展望；观点；景色
outlying	[3A]/'aJtlaIIN/'aJtlaIIN	adj. 边远的；无关的
outmaneuver	[3A]/,aJtmE'nuDvE/,aJtmE'nJvM	vt. 以计谋胜过；运用策略击败
outmatch	[3A]/aJt'mAtF/	vt. 胜过；优于；凌驾于
outmode	[0]/aJt'mod	vt. 使…过时；使…不流行
outmoded	[3A]/aJt'mEJdId/,aJt'modId	adj. 过时的，不流行的
outnumber	[3A]/aJt'nRmbE/'aJt'nRmbM	vt. 数目超过；比…多
outpatient	[3A]/'aJtpeIF(E)nt/'aJt'peFEnt	n. 门诊病人
outperform	[3A]/aJtpE'fODm/,aJtpM'fOrm	vt. 胜过；做得比……好
outpost	[3A]/'aJtpEJst/'aJtpost	n. 前哨；警戒部队；边区村落
outpour	[3A]/'aJtpOD/,aJt'pO	n. 流出物；流出
output	[3A]/'aJtpJt/'aJtpJt	n. 输出，输出量；产量；出产
outputs	[0]	n. 输出；产出；产量（output复数）
outrace	[0]/,aut'reis	vt. 胜过；超过…速度（等于outpace）
outrage	[3A]/'aJtreIdG/'aJtredG	n. 愤怒，愤慨；暴行；侮辱
outraged	[3A]/'autreidGid/	adj. 义愤填膺的；愤慨的，气愤的
outrageous	[3A]/aJt'reIdGEs/aJt'redGEs	adj. 粗暴的；可恶的；令人吃惊的
outre	[0]/J'tre	adj. 越出常轨的；过度的；荒诞的
outreach	[3A]/aJt'riDtF/,aJt'ritF	vt. 超越，伸出；超出…的范围
outright	[3A]/aJt'raIt/'aJtraIt	adv. 全部地；立刻地；率直地；一直向前；痛快地
outrun	[3A]/aJt'rRn/,aJt'rRn	vt. 超过；跑得比…快；从…逃脱
outs	[0]/auts	n. 未现赢张；付出的钱；输出
outsell	[3A]/aJt'sel/,aJt'sCl	vt. 卖得比…多
outset	[3A]/'aJtset/'aJtsCt	n. 开始；开端
outside	[3A]/aJt'saId; 'aJtsaId/,aJt'saId	adj. 外面的，外部的；外来的
outsider	[3A]/aJt'saIdE/'aJt'saIdM	n. 外人；无取胜希望者
outskirt	[3A]/'aJtskHDt/'aJt,skKt 	n. 郊区，市郊
outskirts	[3A]/'aJtskHDts/'aJt'skKts	n. 市郊，郊区
outsource	[3A]/aJt'sODs/'aJtsOrs	vt. 把…外包
outstanding	[3A]/aJt'stAndIN/'aJt'stAndIN	adj. 杰出的；显著的；未解决的；未偿付的
outstrip	[3A]/aJt'strIp/,aJt'strIp	vt. 超过；胜过；比…跑得快
outturn	[3A]/'aJttHDn/'aJt,tKn	n. 卸货情况；产量
outward	[3A]/'aJtwEd/'aJtwMd	adj. 向外的；外面的；公开的；外服的；肉体的
outwards	[3A]/'aJtwEdz/'aJtwMdz	adv. 向外地
outweigh	[3A]/aJt'weI/'aJt'we	vt. 比…重（在重量上）；比…重要；比…有价值
outwit	[3A]/aJt'wIt/,aJt'wIt	vt. 瞒骗；以智取胜
ov	[0]	abbr. 观测速度（observed velocity）；输出阀（output valve）；过电压（overvoltage）
ova	[3A]/'EJvE/'ovE	n. 卵细胞（ovum的复数）
oval	[3A]/'EJv(E)l/'ovl	adj. 椭圆的；卵形的
ovarian	[3A]/EJ'veErIEn/o'vCrIEn	adj. [解剖] 卵巢的；子房的
ovary	[3A]/'EJv(E)rI/'ovEri	n. [植] 子房；[解剖] 卵巢
